"DateTime","Daily PRC"
"2026-04-12 08:20:14",10884
"2026-04-12 08:20:26",10877
"2026-04-12 08:20:34",10877
"2026-04-12 08:20:46",10875
"2026-04-12 08:20:54",10900
"2026-04-12 08:21:06",10931
"2026-04-12 08:21:14",10886
"2026-04-12 08:21:26",10905
"2026-04-12 08:21:34",10905
"2026-04-12 08:21:46",10914
"2026-04-12 08:21:54",10928
"2026-04-12 08:22:06",10935
"2026-04-12 08:22:14",10911
"2026-04-12 08:22:26",10922
"2026-04-12 08:22:34",10922
"2026-04-12 08:22:46",10925
"2026-04-12 08:22:54",10934
"2026-04-12 08:23:06",10956
"2026-04-12 08:23:14",10927
"2026-04-12 08:23:26",10939
"2026-04-12 08:23:34",10939
"2026-04-12 08:23:46",10707
"2026-04-12 08:23:54",10729
"2026-04-12 08:24:06",10718
"2026-04-12 08:24:14",10696
"2026-04-12 08:24:26",10926
"2026-04-12 08:24:34",10926
"2026-04-12 08:24:46",10905
"2026-04-12 08:24:54",10891
"2026-04-12 08:25:06",10891
"2026-04-12 08:25:14",10882
"2026-04-12 08:25:26",10898
"2026-04-12 08:25:34",10926
"2026-04-12 08:25:46",10930
"2026-04-12 08:25:54",10930
"2026-04-12 08:26:06",10931
"2026-04-12 08:26:14",10947
"2026-04-12 08:26:26",10990
"2026-04-12 08:26:34",10983
"2026-04-12 08:26:46",11000
"2026-04-12 08:26:54",11000
"2026-04-12 08:27:06",10997
"2026-04-12 08:27:14",11015
"2026-04-12 08:27:26",10992
"2026-04-12 08:27:34",10996
"2026-04-12 08:27:46",10996
"2026-04-12 08:27:54",10996
"2026-04-12 08:28:06",10986
"2026-04-12 08:28:14",10982
"2026-04-12 08:28:26",10798
"2026-04-12 08:28:34",10785
"2026-04-12 08:28:46",10784
"2026-04-12 08:28:54",10784
"2026-04-12 08:29:06",11028
"2026-04-12 08:29:14",11018
"2026-04-12 08:29:26",11006
"2026-04-12 08:29:34",11028
"2026-04-12 08:29:46",11037
"2026-04-12 08:29:54",11037
"2026-04-12 08:30:06",11060
"2026-04-12 08:30:14",11042
"2026-04-12 08:30:26",11082
"2026-04-12 08:30:34",11082
"2026-04-12 08:30:46",11088
"2026-04-12 08:30:54",11136
"2026-04-12 08:31:06",11093
"2026-04-12 08:31:14",11070
"2026-04-12 08:31:26",11078
"2026-04-12 08:31:34",11078
